idx	X	Y	component
0	1000	10818.84857135942	0
1	38094.37598911116	10323.5596861572	0
2	38094.36968312735	10323.58797452072	0
3	38094.38595050138	10323.52372336647	0
4	38094.38051163182	10323.55392507849	0
5	38094.19785181674	10323.80084620559	0
6	38094.19675402783	10323.80238913872	0
7	41503.32521132094	11772.56362839809	0
8	41503.3252873238	11772.56367868394	0
9	41503.40864760905	11772.6018897063	0
10	41503.40886206735	11772.60183385052	0
11	43279.3109266419	11926.4780509031	0
12	43279.30616477712	11926.48350194129	0
13	43279.40165324063	11926.37453497645	0
14	43279.40633748551	11926.36929922903	0
15	44471.63669038352	11457.48287695387	0
16	44471.63672944191	11457.48285859114	0
17	44471.427979604	11457.5690521932	0
18	44471.42824830251	11457.5690122277	0
19	49695.41231548844	10438.22588860445	0
20	49695.4123203267	10438.22588781722	0
21	49695.52460174735	10437.97774174525	0
22	49695.52460685347	10437.97774174995	0
23	82830.00043442851	10544.89140167085	0
24	82830.00067096544	10544.89138538432	0
25	82830.05317326813	10544.93320050382	0
26	82830.05472827921	10544.93498274141	0
27	85030.0199458295	11627.3522450612	0
28	85030.01856471831	11627.35008994371	0
29	85030.11387232479	11627.49005556121	0
30	85030.04084265637	11627.38304592834	0
31	94522.66154066651	11143.48052439929	0
32	94522.66158530136	11143.48052447307	0
33	94522.67341391213	11143.51808616617	0
34	94522.66793921514	11143.49360516235	0
35	109928.8420788514	11280.75000365336	0
36	109928.8140154678	11280.72581270657	0
37	109928.8561140508	11280.76209838403	0
38	109928.8560972598	11280.76209865297	0
39	116125.9119813063	11233.18502532386	0
40	116125.9119813073	11233.18502532389	0
41	116125.7950597455	11233.26258775217	0
42	116125.7949569056	11233.26258777459	0
43	150346.7919203855	11497.27317206932	0
44	150346.8274108587	11497.28437894663	0
45	150346.746638878	11497.25892731668	0
46	150346.7894305909	11497.27239239899	0
47	157580.5259314361	10545.55809324256	0
48	157580.5259547788	10545.55808982322	0
49	157580.2239169702	10545.54897650265	0
