idx	X	Y	component
0	1000	166887.0471549473	0
1	47573.59149664571	171241.6325333858	0
2	47574.62821999332	171241.807847781	0
3	46753.95925850095	170853.5553591583	0
4	46750.70351223927	170851.4253612491	0
5	46348.72124166181	171652.4117756533	0
6	46348.71732891607	171652.4176459768	0
7	55263.21313784784	196135.0090762039	0
8	55262.97366814967	196134.8480371824	0
9	55262.87836686848	196134.8873031171	0
10	55263.20702823228	196135.0105181586	0
11	55327.46613170579	196164.9672307969	0
12	55327.48101951974	196164.9707753734	0
13	55327.70323357126	196165.131703402	0
14	55327.76835298818	196165.1569823899	0
15	131881.278673094	232488.3067933298	0
16	131881.3109771356	232488.3242441028	0
17	133507.8546462387	233031.4459402321	0
18	133508.2387814543	233031.5889953118	0
19	136496.469220808	234188.7179062424	0
20	136494.8976200286	234188.4089046248	0
21	71756.77774729137	314490.4602880529	0
22	136502.6636917342	234190.094292791	0
23	137022.7986876466	234300.5091098619	0
24	132986.7046348962	232821.1992666751	0
25	429088.5170696771	282996.9825245745	0
26	71757.61134557915	314490.288014512	0
27	79588.38317583082	338254.5629260249	0
28	79588.44081670814	338254.527658244	0
29	79151.42016320978	338536.1033719056	0
30	79151.41913992749	338536.1021192005	0
31	79150.1757075577	338537.1834199118	0
32	79151.61734552286	338536.2131654136	0
33	79150.27703936677	338537.2661600231	0
34	79150.17869427055	338537.1900208245	0
35	79148.96159735532	338537.8460801136	0
36	79149.13438021322	338537.9836262122	0
37	79147.793067683	338540.6481589119	0
38	79148.96314096241	338537.8435618769	0
39	79147.64035399072	338540.1316897267	0
40	79147.63861338422	338540.1336130711	0
41	79148.02912283572	338541.8318013686	0
42	79148.94143680856	338542.4149736921	0
43	79147.86263195216	338542.6112308591	0
44	79148.02329204488	338541.8341435461	0
45	79147.31530284439	338542.5551957125	0
46	79147.3260329226	338542.5586228224	0
47	79051.44897246361	338744.2659427604	0
48	79051.90064178966	338743.7292700704	0
49	79051.38842801494	338744.3994703552	0
50	79051.4500682978	338744.2668483892	0
51	78982.43010721169	338789.6794612271	0
52	78982.01129937684	338796.6007570672	0
53	78987.89099582075	338792.5970811596	0
54	78982.430107211	338789.6794612276	0
55	78987.28970966791	338792.375533178	0
56	78987.28872827534	338792.3750434333	0
57	78971.26612949814	338805.6331759239	0
58	78975.0242980679	338807.9569062194	0
59	78972.26443692856	338807.6826318525	0
60	78971.26554544806	338805.6337802777	0
61	78971.16920079198	338806.4988750725	0
