idx	X	Y	component
0	805350.962327629	517144.883486244	0
1	776000.5762535498	500885.0490286765	0
2	776000.7496644814	500885.1646904543	0
3	775960.3027753955	500859.6221806614	0
4	775960.2681568264	500859.5979026787	0
5	817401.6521281452	542254.4614404911	0
6	817402.2787169748	542254.9231457842	0
7	817401.7030299631	542254.5024933468	0
8	817401.6955452109	542254.4921189261	0
9	817409.7208292036	542263.0438189555	0
10	817409.7615605992	542263.0743438274	0
11	817410.271804728	542263.388498037	0
12	817410.2515380689	542263.3705095766	0
13	806412.2618892892	528578.2733938324	0
14	806411.9859678209	528578.0962187302	0
15	802227.2333578496	524835.1758836887	0
16	802227.3060697989	524835.2381617078	0
17	798735.6460580173	521794.909323895	0
18	355212.5877028308	235840.9475519186	0
19	797870.6428469109	521137.6008599536	0
20	798735.5303573246	521794.8065920921	0
21	803807.8383355554	525679.5173400403	0
22	740216.9557753099	467358.3094295189	0
23	803793.4500436346	525666.2969210658	0
24	803807.7411215379	525679.4327877089	0
25	803935.438117043	525787.2676924294	0
26	803935.3020961703	525787.156430745	0
27	803940.5418606499	525791.4066917959	0
28	803940.66000914	525791.4811538353	0
29	804308.0021039745	526094.4209299238	0
30	804303.0358487918	526090.3332698419	0
31	804309.1757802122	526095.3806664958	0
32	804309.0319909999	526095.2611537207	0
33	855943.7823203012	568423.3047636525	0
34	855943.8159821202	568423.3340974397	0
35	855945.5200402745	568424.8495076144	0
36	855945.6341080948	568424.9444339633	0
37	864859.8174161661	576080.6742960901	0
38	864859.8018202597	576080.66263402	0
39	864860.3307579524	576080.9908858531	0
40	864860.3293800479	576080.9915843187	0
41	870188.5299641449	580902.7961395993	0
42	870188.5568524819	580902.8250006124	0
43	870188.9293756007	580903.2578750305	0
44	870189.0098465638	580903.327440989	0
45	883520.9074868717	593974.3284273214	0
46	883520.8887191591	593974.3181794784	0
47	883520.8138132646	593974.5328187894	0
48	883520.8286285097	593974.3741754872	0
49	850586.519017262	608531.4414673385	0
50	850587.7797971148	608531.8695227794	0
51	850586.3959571611	608531.3986889636	0
52	850586.3538853464	608531.3803985608	0
53	845848.5929039578	606537.9125374102	0
54	845848.591991115	606537.9119313145	0
55	845848.4889456701	606537.8394861298	0
56	845848.4111277323	606537.80312271	0
57	819816.6945844168	595642.0030398697	0
58	819816.694984499	595642.003205944	0
59	819816.5523114448	595641.9568516128	0
60	819816.5290735367	595641.945897831	0
61	764891.8351366123	570439.1087883014	0
62	764892.2827271105	570439.3200131459	0
63	764891.3372949512	570438.8766212797	0
64	764891.8128684069	570439.0981049363	0
65	737736.9953968168	557838.6217505757	0
66	737738.6551387134	557839.3639386726	0
67	737735.4479415993	557837.9197584854	0
68	737737.0396703278	557838.6379467256	0
69	443996.4913091046	428892.5685888279	0
70	443997.0990147697	428892.7682136155	0
71	443927.2885233684	428870.0460273917	0
72	443927.7465407279	428870.19698043	0
73	383031.5412244721	409263.767644627	0
74	383024.9085234833	409261.3902924643	0
75	382082.619650003	408895.8982892338	0
76	383058.9164258798	409273.8848924389	0
77	382071.8072739728	408890.1374171096	0
78	382080.2294418288	408895.1291706753	0
79	380262.9322434323	408306.9156612506	0
80	380335.8922269526	408330.5514223998	0
81	380199.614245823	408286.4722324657	0
82	380261.4496152297	408306.4361917796	0
83	377943.2873898272	407564.2302931841	0
84	377945.1430055662	407564.7993229158	0
85	377855.6542649254	407535.6441175909	0
86	377855.2461140545	407535.4990458743	0
87	377490.0534626145	407416.1683964826	0
88	377492.8342334756	407417.0855049547	0
89	377207.923930858	407324.1994677075	0
90	377486.9685124592	407415.1195209331	0
91	377177.1346015724	407314.0182663329	0
92	377207.1876800285	407323.9487825664	0
93	375490.7668043145	406759.6535250657	0
94	375338.8966331674	406718.1280407734	0
95	375924.4767542718	406876.4252206562	0
96	375925.1045746171	406876.6401578166	0
97	373743.4180696653	405182.1824855423	0
98	373743.5595039767	405182.2127819253	0
99	373742.9954735908	405181.9331164949	0
100	373742.9921980692	405181.9336059465	0
101	390732.6985417873	402643.2093873089	0
102	390732.6898848471	402643.2172410341	0
103	390732.3530575112	402643.1485059743	0
104	390732.3278210311	402643.1345407962	0
105	382652.0682014173	382466.4540157754	0
106	382652.078711212	382466.4448337069	0
107	378061.6630311303	377924.1056305319	0
108	378074.142385383	377935.8955028837	0
109	189376.5954983917	351450.8314126927	0
110	378061.8317877089	377924.1976141713	0
111	373970.5649384815	373989.2093741355	0
112	189356.2821747885	351447.8420818973	0
113	183446.4324270724	330818.1361946948	0
114	183446.4121337481	330818.2531779708	0
115	138012.6097295819	359211.704385147	0
116	181724.6996014413	335712.6810146159	0
117	135112.7535968677	347150.7259984016	0
118	183448.3076593535	330814.6654633388	0
119	230597.5420086127	114061.8701059948	0
120	138012.6129205201	359211.704140259	0
121	131135.4736503084	392837.8912405117	0
122	131135.475799124	392837.8946575228	0
123	131135.2774788225	392837.5191370872	0
124	131135.4092662843	392837.7663356334	0
125	128061.0478315291	395824.192072646	0
126	128061.0154538809	395824.2420811318	0
127	128060.7750517341	395824.0794527516	0
128	128060.7744934658	395824.0845341749	0
129	128002.509655644	395910.721965845	0
130	128002.5056595812	395910.7181627344	0
131	128001.2268769499	395910.8619321313	0
132	128001.2317429874	395910.8726325691	0
133	125862.2065907161	398691.549018326	0
134	125862.1977428311	398691.5601646051	0
135	125861.9166720762	398691.9207164396	0
136	125861.9159572644	398691.9458571338	0
137	107762.1309791133	411105.3566742774	0
138	107762.1314079065	411105.3584385064	0
139	107762.0531110176	411105.2991703291	0
140	107762.0528058752	411105.3048021279	0
